"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Word Completion","⌥⌘/","Editing Text"
"File","Save All","⇧⌘S","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","⌥↩","In Breakpoints View"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"C/C++ Source","Explore Macro Expansion","⌘=","C/C++ Editor"
"File","Save","⌘S","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Edit","Delete","⌦","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Task Repositories","New Subtask","⇧⌥N","In Tasks View"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
